iter	Passed	Remaining
0	135	13402
1	137	6754
2	140	4532
3	142	3415
4	144	2742
5	146	2293
6	148	1974
7	150	1733
8	152	1546
9	155	1398
10	157	1275
11	159	1171
12	161	1077
13	163	1002
14	165	937
15	167	878
16	169	828
17	171	783
18	173	741
19	176	704
20	178	673
21	181	642
22	183	613
23	185	587
24	187	563
25	190	541
26	192	520
27	194	501
28	197	482
29	201	470
30	204	455
31	207	440
32	210	426
33	212	412
34	214	398
35	217	386
36	220	374
37	223	364
38	226	354
39	229	343
40	232	335
41	235	325
42	238	315
43	240	306
44	243	297
45	245	288
46	248	279
47	251	271
48	253	263
49	256	256
50	258	248
51	261	241
52	265	235
53	268	228
54	271	221
55	273	215
56	276	208
57	279	202
58	281	195
59	284	189
60	286	183
61	288	177
62	291	171
63	293	165
64	297	159
65	299	154
66	302	148
67	304	143
68	307	138
69	308	132
70	311	127
71	314	122
72	316	116
73	318	111
74	320	106
75	322	101
76	325	97
77	328	92
78	330	87
79	332	83
80	334	78
81	337	74
82	339	69
83	342	65
84	344	60
85	346	56
86	348	52
87	350	47
88	353	43
89	355	39
90	357	35
91	359	31
92	362	27
93	364	23
94	366	19
95	368	15
96	370	11
97	372	7
98	375	3
99	377	0
